call_id,gold_token_count,asr_token_count,length_ratio,insertion_rate,repetition_ratio,short_call_hallucination,repetition_burst,repetition_run,hallucination_candidate,gold_polarity,asr_polarity,gold_quantities,missing_quantities
020e1147-dd6f-427f-9d53-5d40c658d66f,13,20,1.54,0.6,0.0,False,False,,False,"affirmative,negative","affirmative,negative",दो,
2d9ac1d3-4e07-4de1-8815-1f0969fe4d3f,49,64,1.31,0.453,0.0,False,False,,False,negative,"affirmative,negative",,
8043ee36-bd6f-412e-86b4-a1b983dc458a,60,126,2.1,0.619,0.0,False,False,,False,,,,
df77107b-6531-4303-85eb-e56f056cc16e,20,37,1.85,0.676,0.081,False,False,ok,False,"affirmative,negative","affirmative,negative",,
9c328701-9884-459f-ab22-0103c76d3a52,23,24,1.04,0.417,0.0,False,False,,False,negative,negative,,
d8676f59-e3d8-49c6-a135-3b77eda03e02,40,54,1.35,0.37,0.056,False,False,university,False,affirmative,affirmative,,
59cc61e3-478d-45e7-9c52-d8f877375c9e,69,100,1.45,0.42,0.0,False,False,,False,affirmative,affirmative,,
43b07a68-f6fb-4c99-8065-97d07f28f182,28,33,1.18,0.545,0.121,False,False,हां,False,"affirmative,negative","affirmative,negative",,
b2a6f783-90f7-4057-9d4c-ca589bd95034,10,12,1.2,0.583,0.0,False,False,,False,"affirmative,negative",affirmative,,
c1c6a53f-fd1e-428d-8198-22209c3e8082,54,65,1.2,0.585,0.062,False,False,हां,False,"affirmative,negative","affirmative,negative","six one,one","six one,one"
6c605613-efd2-48e8-b080-8a086addf2a7,20,9,0.45,0.556,0.0,False,False,,False,,,,
09c68660-7db4-4b5b-9a72-39a12f18c9bd,198,211,1.07,0.403,0.014,False,False,हां,False,affirmative,affirmative,"zero five two five,दो सौ ml छे bottle,दो सौ ml छे bottle,दो सौ ml बारह bottle,दो सौ ml,दो सौ ml एक case,एक case,दो litre,दो litre,bottle,दो litre,bottle,seven,two point two five litre तीन bottle,two point two five litre तीन bottle,two point two five litre तीन bottle,दो सौ ml,bottle,bottle,दो सौ ml,bottle,two hundred ml,two fifty ml,two fifty ml,एक case,पच्चीस,बारह bottle,बारह bottle,दो litre","दो सौ ml छे bottle,दो सौ ml छे bottle,दो litre,दो litre,दो litre,two point two five litre तीन bottle,two point two five litre तीन bottle,two point two five litre तीन bottle,दो litre"
dd0bb7ca-015a-4bca-ac7f-42df781d3928,88,93,1.06,0.419,0.011,False,False,no,False,"affirmative,negative","affirmative,negative","three one five,दो सौ ml,seven,दो सौ ml,six,seven,दो सौ ml six,दो,दो सौ ml","three one five,दो सौ ml six"
8661511d-f289-4919-b2da-0b4f78726e1f,125,156,1.25,0.481,0.0,False,False,,False,"affirmative,negative","affirmative,negative","two three zero six one five zero six one five,seven,two point two five लीटर एक case,seven fifty ml एक case,एक सौ पच्चीस ml,सवा लीटर चार case,one case,बीस bottle seven,सात सौ बारह bottle एक सौ पच्चीस ml,pack,सवा लीटर,एक case,सवा लीटर एक पचास","two point two five लीटर एक case,seven fifty ml एक case,एक सौ पच्चीस ml,सवा लीटर चार case,one case,बीस bottle seven,सात सौ बारह bottle एक सौ पच्चीस ml,pack,सवा लीटर एक पचास"
a8afca71-9dd8-464c-9ebf-04933f58e4a4,222,291,1.31,0.478,0.021,False,False,एक minute,False,"affirmative,negative","affirmative,negative","zero six one five seven,two point two five litre,seven fifty ml,एक सौ पच्चीस ml,सवा litre,एक सौ पच्चीस ml,एक सौ पच्चीस ml seven,साढ़े सात सौ ml,seven,सवा दो litre एक case,साढ़े सात सौ ml एक case,एक bottle,एक case,चार case,सवा litre,चार case,एक case,बीस bottle,seven,साढ़े सात सौ ml बारह bottle,seven,दो litre,सवा litre,सवा litre half,बारह,pack,बारह,बारह,बारह,two fifty ml बारह,बारह,बारह,एक,बारह,बारह,बीस","two point two five litre,seven fifty ml,सवा litre,एक सौ पच्चीस ml seven,साढ़े सात सौ ml,सवा दो litre एक case,साढ़े सात सौ ml एक case,एक bottle,सवा litre,बीस bottle,साढ़े सात सौ ml बारह bottle,दो litre,सवा litre,सवा litre half,pack"
33720198-f1f7-498b-915b-e836c5d61c5c,5,10,2.0,0.5,0.0,True,False,,True,affirmative,affirmative,forty five percent,
2b184bcb-9a7a-4da5-9b06-f8b5ba1711fe,6,33,5.5,0.818,0.0,True,False,,True,,,,
